damageStats_blue,goldPerSecond_blue,jungleMinionsKilled_blue,level_blue,minionsKilled_blue,totalGold_blue,xp_blue,kill_blue,death_blue,assi_blue,tower_blue,tower_shield_blue,win_blue,damageStats_red,goldPerSecond_red,jungleMinionsKilled_red,level_red,minionsKilled_red,totalGold_red,xp_red,kill_red,death_red,assi_red,tower_red,tower_shield_red,win_red,dragon_blue,junr_blue,dragon_red,junr_red
21505,30,97,45,371,25671,28324,7.0,10.0,13.0,0.0,5.0,0.0,24383,30,78,47,358,27018,29962,10.0,7.0,17.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0
24080,30,76,46,343,29696,29245,15.0,13.0,21.0,1.0,8.0,0.0,27267,30,93,47,401,28828,30939,13.0,15.0,16.0,1.0,8.0,1.0,0.0,1.0,1.0,0.0
24538,30,100,45,351,26327,29689,6.0,13.0,8.0,1.0,8.0,0.0,26814,30,96,47,367,27098,31844,13.0,6.0,11.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0
18514,30,51,42,328,22215,25156,5.0,18.0,8.0,0.0,2.0,0.0,28882,30,91,48,393,32192,31855,18.0,5.0,14.0,1.0,11.0,1.0,0.0,0.0,1.0,1.0
21577,30,88,46,386,25357,29373,9.0,7.0,13.0,,3.0,0.0,22844,30,72,47,360,24478,29348,7.0,9.0,9.0,,5.0,1.0,1.0,0.0,0.0,1.0
25959,30,102,47,352,29943,30937,14.0,2.0,17.0,2.0,10.0,1.0,19665,30,54,40,310,19900,24447,2.0,14.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
30063,30,88,49,397,30765,32246,14.0,8.0,12.0,,10.0,1.0,28540,30,78,45,334,24339,27826,8.0,14.0,11.0,,2.0,0.0,1.0,0.0,0.0,1.0
28894,30,76,50,353,29426,33198,12.0,8.0,13.0,1.0,9.0,1.0,26834,30,95,45,335,24338,28414,8.0,12.0,3.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
24151,30,60,46,365,25145,28637,8.0,10.0,12.0,0.0,4.0,0.0,22930,30,114,49,355,28091,31672,10.0,8.0,10.0,1.0,6.0,1.0,0.0,0.0,2.0,1.0
27488,30,112,49,426,32633,32383,13.0,2.0,18.0,3.0,15.0,1.0,15417,30,80,45,343,21530,28397,2.0,13.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
48704,30,112,52,359,38110,34983,29.0,10.0,21.0,4.0,15.0,1.0,23875,20,51,41,258,22895,24273,10.0,29.0,12.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
31745,30,99,46,367,27747,28996,11.0,3.0,17.0,1.0,7.0,1.0,22497,30,65,43,337,21173,25315,3.0,11.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
27342,30,76,47,373,31678,31873,18.0,14.0,21.0,2.0,14.0,1.0,31755,30,113,47,341,29794,30245,14.0,18.0,14.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0
23537,30,67,41,316,21877,24521,6.0,14.0,7.0,0.0,1.0,0.0,30569,30,112,47,381,30893,30629,14.0,7.0,17.0,3.0,15.0,1.0,0.0,0.0,1.0,1.0
31647,30,76,44,307,27295,26355,11.0,15.0,20.0,1.0,10.0,0.0,31697,30,92,48,347,30192,31391,15.0,11.0,20.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0
40651,30,100,46,305,30320,28508,17.0,25.0,28.0,0.0,3.0,0.0,41290,30,68,47,330,33966,31311,25.0,17.0,29.0,1.0,9.0,1.0,1.0,0.0,1.0,1.0
35328,30,84,49,355,28033,31706,13.0,10.0,12.0,,6.0,0.0,24820,30,90,46,364,24691,28467,10.0,13.0,1.0,,5.0,1.0,0.0,0.0,1.0,1.0
21329,30,78,46,320,24718,27794,10.0,14.0,11.0,0.0,6.0,0.0,22367,30,68,46,358,29093,28676,14.0,10.0,18.0,2.0,12.0,1.0,1.0,0.0,0.0,1.0
26071,30,76,45,324,26727,27580,11.0,13.0,20.0,1.0,6.0,1.0,29363,30,79,44,274,26663,27056,13.0,11.0,15.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0
28661,30,84,45,323,25261,27099,9.0,16.0,4.0,1.0,9.0,1.0,27118,30,79,48,320,26347,30962,16.0,10.0,14.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
21161,30,76,45,340,28135,27677,8.0,11.0,10.0,2.0,12.0,0.0,25004,30,111,47,344,28787,30745,11.0,8.0,17.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0
36001,30,80,45,299,28675,27264,17.0,12.0,23.0,2.0,11.0,1.0,28360,30,80,47,350,27935,29697,12.0,17.0,11.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
33022,30,67,47,311,29989,31836,22.0,15.0,25.0,0.0,7.0,1.0,32211,30,100,47,319,30300,31064,15.0,22.0,11.0,2.0,9.0,0.0,0.0,0.0,2.0,1.0
27686,30,74,46,348,26610,28982,12.0,10.0,14.0,0.0,5.0,0.0,29094,30,88,46,346,28542,30041,10.0,12.0,11.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0
